"Story","Title","Result","Date","Stability","Duration (s)"
"API examples","Create a new user and validate the integrity of the data that was sent","SUCCESS","2023-05-07T03:34:17.515706Z[Etc/UTC]","0.0","10.91"
"API examples","Update an user","SUCCESS","2023-05-07T03:34:28.466888Z[Etc/UTC]","0.0","2.5"
