"Story","Title","Result","Date","Stability","Duration (s)"
"API examples","Create a new user and validate the integrity of the data that was sent","SUCCESS","2023-05-07T03:48:40.243862Z[Etc/UTC]","0.0","14.09"
"API examples","Update an user","SUCCESS","2023-05-07T03:48:54.384895Z[Etc/UTC]","0.0","3.53"
