"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Validate the successful login","SUCCESS","2023-05-07T03:48:40.127902Z[Etc/UTC]","0.0","12.92"
"Login","Validate the unsuccessful login with locked_out_user","SUCCESS","2023-05-07T03:48:53.416154Z[Etc/UTC]","0.0","3.02"
"Login","Validate the unsuccessful login with locked_out_user failed","FAILURE","2023-05-07T03:48:56.52947Z[Etc/UTC]","0.0","4.13"
"Make a purchase","Validate the successful purchase of a random product","SUCCESS","2023-05-07T03:49:00.976036Z[Etc/UTC]","0.0","4.3"
"Make a purchase","Validate checkout form when empty Zip Code","SUCCESS","2023-05-07T03:49:05.363427Z[Etc/UTC]","0.0","18.68"
